ym,quantity,ma3_pred,ym_str
2020-01,31,,2020-01
2020-02,16,,2020-02
2020-03,17,,2020-03
2020-04,32,21.333333333333332,2020-04
2020-05,5,21.666666666666668,2020-05
2020-06,8,18.0,2020-06
2020-07,4,15.0,2020-07
2020-08,9,5.666666666666667,2020-08
2020-09,16,7.0,2020-09
2020-10,0,9.666666666666666,2020-10
2020-11,56,8.333333333333334,2020-11
2020-12,45,24.0,2020-12
2021-01,16,33.666666666666664,2021-01
2021-02,30,39.0,2021-02
2021-03,33,30.333333333333332,2021-03
2021-04,20,26.333333333333332,2021-04
2021-05,14,27.666666666666668,2021-05
2021-06,7,22.333333333333332,2021-06
2021-07,9,13.666666666666666,2021-07
2021-08,11,10.0,2021-08
2021-09,7,9.0,2021-09
2021-10,23,9.0,2021-10
2021-11,40,13.666666666666666,2021-11
2021-12,45,23.333333333333332,2021-12
2022-01,17,36.0,2022-01
2022-02,38,34.0,2022-02
2022-03,35,33.333333333333336,2022-03
2022-04,37,30.0,2022-04
2022-05,18,36.666666666666664,2022-05
2022-06,15,30.0,2022-06
2022-07,6,23.333333333333332,2022-07
2022-08,17,13.0,2022-08
2022-09,17,12.666666666666666,2022-09
2022-10,73,13.333333333333334,2022-10
2022-11,23,35.666666666666664,2022-11
2022-12,49,37.666666666666664,2022-12
2023-01,19,48.333333333333336,2023-01
2023-02,45,30.333333333333332,2023-02
2023-03,22,37.666666666666664,2023-03
2023-04,44,28.666666666666668,2023-04
2023-05,8,37.0,2023-05
2023-06,5,24.666666666666668,2023-06
2023-07,6,19.0,2023-07
2023-08,4,6.333333333333333,2023-08
2023-09,21,5.0,2023-09
2023-10,38,10.333333333333334,2023-10
2023-11,45,21.0,2023-11
2023-12,51,34.666666666666664,2023-12
2024-01,43,44.666666666666664,2024-01
2024-02,52,46.333333333333336,2024-02
2024-03,66,48.666666666666664,2024-03
2024-04,44,53.666666666666664,2024-04
2024-05,28,54.0,2024-05
2024-06,14,46.0,2024-06
2024-07,7,28.666666666666668,2024-07
2024-08,10,16.333333333333332,2024-08
2024-09,12,10.333333333333334,2024-09
2024-10,20,9.666666666666666,2024-10
2024-11,51,14.0,2024-11
2024-12,38,27.666666666666668,2024-12
2025-01,57,36.333333333333336,2025-01
2025-02,32,48.666666666666664,2025-02
2025-03,77,42.333333333333336,2025-03
2025-04,38,55.333333333333336,2025-04
2025-05,24,49.0,2025-05
2025-06,17,46.333333333333336,2025-06
2025-07,19,26.333333333333332,2025-07
2025-08,23,20.0,2025-08
2025-09,31,19.666666666666668,2025-09
2025-10,34,24.333333333333332,2025-10
2025-11,60,29.333333333333332,2025-11
2025-12,22,41.666666666666664,2025-12
2026-01,79,38.666666666666664,2026-01
2026-02,68,53.666666666666664,2026-02
2026-03,60,56.333333333333336,2026-03
2026-04,36,69.0,2026-04
2026-05,36,54.666666666666664,2026-05
2026-06,38,44.0,2026-06
2026-07,24,36.666666666666664,2026-07
2026-08,25,32.666666666666664,2026-08
2026-09,56,29.0,2026-09
2026-10,29,35.0,2026-10
2026-11,62,36.666666666666664,2026-11
2026-12,64,49.0,2026-12
