date_dt,date,dia_semana,faturamento_diario
2020-01-01,2020-01-01,Quarta-feira,420574.61
2020-01-02,2020-01-02,Quinta-feira,284813.1
2020-01-03,2020-01-03,Sexta-feira,192399.41
2020-01-04,2020-01-04,Sábado,160525.49
2020-01-05,2020-01-05,Domingo,222574.28
2020-01-06,2020-01-06,Segunda-feira,330941.77
2020-01-07,2020-01-07,Terça-feira,167922.81
2020-01-08,2020-01-08,Quarta-feira,326493.75
2020-01-09,2020-01-09,Quinta-feira,186837.1
2020-01-10,2020-01-10,Sexta-feira,141282.07
2020-01-11,2020-01-11,Sábado,162032.88
2020-01-12,2020-01-12,Domingo,105482.08
2020-01-13,2020-01-13,Segunda-feira,213530.26
2020-01-14,2020-01-14,Terça-feira,106575.0
2020-01-15,2020-01-15,Quarta-feira,144720.65
2020-01-16,2020-01-16,Quinta-feira,152143.97
2020-01-17,2020-01-17,Sexta-feira,221281.69
2020-01-18,2020-01-18,Sábado,131705.93
2020-01-19,2020-01-19,Domingo,113772.01999999999
2020-01-20,2020-01-20,Segunda-feira,289487.52
2020-01-21,2020-01-21,Terça-feira,149995.54
2020-01-22,2020-01-22,Quarta-feira,169164.86
2020-01-23,2020-01-23,Quinta-feira,23933.78
2020-01-24,2020-01-24,Sexta-feira,136104.47
2020-01-25,2020-01-25,Sábado,67873.29
2020-01-26,2020-01-26,Domingo,43438.04
2020-01-27,2020-01-27,Segunda-feira,371670.91
2020-01-28,2020-01-28,Terça-feira,90612.52
2020-01-29,2020-01-29,Quarta-feira,220460.35
2020-01-30,2020-01-30,Quinta-feira,143943.35
2020-01-31,2020-01-31,Sexta-feira,201466.51
2020-02-01,2020-02-01,Sábado,35924.94
2020-02-02,2020-02-02,Domingo,167690.97
2020-02-03,2020-02-03,Segunda-feira,51629.17
2020-02-04,2020-02-04,Terça-feira,130984.62
2020-02-05,2020-02-05,Quarta-feira,170123.34
2020-02-06,2020-02-06,Quinta-feira,139439.98
2020-02-07,2020-02-07,Sexta-feira,144228.53999999998
2020-02-08,2020-02-08,Sábado,121271.58
2020-02-09,2020-02-09,Domingo,74414.56
2020-02-10,2020-02-10,Segunda-feira,180567.79
2020-02-11,2020-02-11,Terça-feira,78253.42
2020-02-12,2020-02-12,Quarta-feira,221860.41999999998
2020-02-13,2020-02-13,Quinta-feira,164953.97
2020-02-14,2020-02-14,Sexta-feira,282172.22
2020-02-15,2020-02-15,Sábado,132541.85
2020-02-16,2020-02-16,Domingo,247725.77000000002
2020-02-17,2020-02-17,Segunda-feira,93863.16
2020-02-18,2020-02-18,Terça-feira,154600.89
2020-02-19,2020-02-19,Quarta-feira,238344.18999999997
2020-02-20,2020-02-20,Quinta-feira,0.0
2020-02-21,2020-02-21,Sexta-feira,237015.47
2020-02-22,2020-02-22,Sábado,201768.61
